year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_notes,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,wetmass_or_dry,salinity_ppt,salinity_factor,smolt_factor
1991,Rombough,Physiol. Zool.,0.351351351,NA,12,NA,NA,NA,NA,0.140945946,NA,-1.959378824,-1.959378824,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.392792793,NA,12,NA,NA,NA,NA,0.111821622,NA,-2.190850341,-2.190850341,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.405405405,NA,12,NA,NA,NA,NA,0.114783784,NA,-2.164705061,-2.164705061,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.428828829,NA,12,NA,NA,NA,NA,0.110713514,NA,-2.200809373,-2.200809373,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.427027027,NA,12,NA,NA,NA,NA,0.130718919,NA,-2.034705918,-2.034705918,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.405405405,NA,12,NA,NA,NA,NA,0.128783784,NA,-2.049620376,-2.049620376,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.389189189,NA,12,NA,NA,NA,NA,0.120832432,NA,-2.113350549,-2.113350549,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.418018018,NA,12,NA,NA,NA,NA,0.125745946,NA,-2.07349171,-2.07349171,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.488288288,NA,12,NA,NA,NA,NA,0.126535135,NA,-2.067235261,-2.067235261,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.49009009,NA,12,NA,NA,NA,NA,0.12852973,NA,-2.051595042,-2.051595042,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.416216216,NA,12,NA,NA,NA,NA,0.162751351,NA,-1.815531695,-1.815531695,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.387387387,NA,12,NA,NA,NA,NA,0.185837838,NA,-1.682880825,-1.682880825,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,endogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.500900901,NA,12,NA,NA,NA,NA,0.153497297,NA,-1.874072319,-1.874072319,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.526126126,NA,12,NA,NA,NA,NA,0.166421622,NA,-1.793230821,-1.793230821,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.547747748,NA,12,NA,NA,NA,NA,0.140356757,NA,-1.963567835,-1.963567835,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.592792793,NA,12,NA,NA,NA,NA,0.182221622,NA,-1.702531631,-1.702531631,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.663063063,NA,12,NA,NA,NA,NA,0.152010811,NA,-1.883803637,-1.883803637,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.70990991,NA,12,NA,NA,NA,NA,0.17787027,NA,-1.726700813,-1.726700813,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.740540541,NA,12,NA,NA,NA,NA,0.168778378,NA,-1.779168795,-1.779168795,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.78018018,NA,12,NA,NA,NA,NA,0.170659459,NA,-1.768085173,-1.768085173,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.673873874,NA,12,NA,NA,NA,NA,0.191978378,NA,-1.650372526,-1.650372526,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.720720721,NA,12,NA,NA,NA,NA,0.212837838,NA,-1.547224728,-1.547224728,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.767567568,NA,12,NA,NA,NA,NA,0.229697297,NA,-1.470992936,-1.470992936,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.875675676,NA,12,NA,NA,NA,NA,0.190372973,NA,-1.658770115,-1.658770115,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.89009009,NA,12,NA,NA,NA,NA,0.24632973,NA,-1.401084276,-1.401084276,Oncorhynchus tshawytscha,NA,larval,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
