year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,common,race,life stage,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,source
1982,Ucrit,see readne,Schneider and Connors,J. Therm. Biol.,13,93.23,NA,NA,3.21,NA,NA,20,Oncorhynchus mykiss,steelhead,rainbow trout,juvenile,495.6,NA,NA,29.04361371,NA,NA,32.2706819,NA,NA,NA,32.12789127,NA,NA,321.2789127,unclear,1,Schneider and Connors 1982
1982,Ucrit,see readne,Schneider and Connors,J. Therm. Biol.,10,47.95,NA,NA,1.64,NA,NA,25,Oncorhynchus mykiss,steelhead,rainbow trout,juvenile,495.6,NA,NA,29.23780488,NA,NA,32.48644986,NA,NA,NA,32.34270451,NA,NA,323.4270451,unclear,1,Schneider and Connors 1982
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,47.836327,,NA,6.5159679,NA,NA,13.5,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,48.429538,,NA,6.5967715,NA,NA,15.4,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.3414,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,65.103794,,NA,8.3950733,NA,NA,13.93333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,45.048209,,NA,5.8089244,NA,NA,14.1,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,46.693441,,NA,6.2719537,NA,NA,14.36667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,52.536092,,NA,7.05675,NA,NA,14.26667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.4448,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,63.57634,,NA,7.498271,NA,NA,15.36667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,66.466864,,NA,7.8391829,NA,NA,15.16667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
