year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,common,race,life stage,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,source
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,61.640646,,NA,6.7742929,NA,NA,18.2,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.0992,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,51.514753,,NA,6.5553743,NA,NA,14.46667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.8584,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,32.373,,NA,4.1195409,NA,NA,18,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.8584,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,49.480347,,NA,5.5003831,NA,NA,13.73333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.9958,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,31.431704,,NA,3.4940421,NA,NA,18.76667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.9958,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,60.087779,,NA,7.3559459,NA,NA,13.86667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.1686,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,58.182933,,NA,7.1227546,NA,NA,18.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.1686,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,45.842465,,NA,4.9814688,NA,NA,14.23333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.2026,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,39.37877,,NA,4.2790918,NA,NA,18.93333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.2026,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,52.041186,,NA,6.3708819,NA,NA,14.5,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.1686,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.669005,,NA,6.6925795,NA,NA,18.96667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.1686,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,66.5896,,NA,8.05,NA,NA,12.2,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,82.995113,,NA,10.0332583,NA,NA,16.4,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,55.465931,,NA,6.2374535,NA,NA,12.5,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.8924,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,56.718278,,NA,6.3782868,NA,NA,15.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.8924,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,57.664112,,NA,7.4357333,NA,NA,12.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,33.339986,,NA,4.29916,NA,NA,16.4,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
TEST ZERO,Ucrit,Ucrit set at zero at critical thermal maximum of fish,CTM,TEST ZERO,1,0,,NA,0,NA,NA,25.3,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CTM
1971,50% fail rate,1 of three samples which appx 50% fail rate,Greenland and Thomas,TAFS,1,24.4,,NA,7.176470588,NA,NA,11.7,Oncorhyncus tshawytscha,Chinook,NA,fry,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Greenland and Thomas 1971
1971,50% fail rate,1 of three samples which appx 50% fail rate,Greenland and Thomas,TAFS,1,27.4,,NA,7.611111111,NA,NA,11.7,Oncorhyncus tshawytscha,Chinook,NA,fry,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Greenland and Thomas 1971
1971,50% fail rate,1 of three samples which appx 50% fail rate,Greenland and Thomas,TAFS,1,27.4,,NA,7.210526316,NA,NA,11.7,Oncorhyncus tshawytscha,Chinook,NA,fry,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Greenland and Thomas 1971
