BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,A,1.2,3.1,5.7,M,M,M,0.09,0.01,0.1
0,0,A,A,A,1.2,3,4,M,M,M,0.31,0.54,0.63
0,0,A,A,A,1,2.9,4.8,M,M,M,0.37,0.59,0.92
0,0,A,A,S,1.1,2.4,4.2,M,M,M,0.55,0.72,1.17
0,0,A,A,S,2,3.4,5.8,M,M,M,0.17,0.48,0.96
0,0,A,A,S,1.1,2.6,5.4,M,M,M,0.22,0.53,0.61
0,0,A,A,A,1.2,3,6.1,M,M,M,0.45,0.59,0.87
0,0,A,A,S,0.9,2,4.4,M,M,M,0.33,0.44,0.68
0,0,A,A,A,1.9,3.9,6.3,M,M,M,0.27,0.63,0.82
0,0,A,A,A,1.2,2.7,5.4,M,M,M,0.29,0.51,0.75
0,0,A,A,M,1,3.9,5.8,M,M,M,0.48,0.56,0.87
0,0,A,A,A,1.8,4.4,6.9,M,M,M,0.38,0.72,0.79
0,0,A,A,A,1.7,4.3,5.8,M,M,M,0.5,0.34,0.92
0,0,A,A,A,1.4,3.5,4.7,M,M,M,0.24,1.03,1.41
0,0,A,A,M,2.4,5.2,7.7,M,M,M,0.08,0.66,1.31
0,0,A,A,S,2,4.8,7,M,M,M,0.32,0.87,1.2
0,0,A,A,S,1.9,5.5,7.8,M,M,M,0.28,1,1.44
0,0,A,A,A,2,5.9,9,M,M,M,0.21,1.41,1.69
0,0,A,A,A,2.2,5.6,9.2,M,M,M,0.47,0.61,1.5
0,0,A,A,A,1.8,4.2,5.7,G,G,G,0.78,1,1.34
0,0,A,A,A,1.4,3.9,5.1,G,G,G,0.62,1.17,1.04
0,0,A,A,A,2,4,5.2,M/G,G,G,0.25,0.55,1.09
0,0,A,A,A,1.5,2.7,4.8,G,G,G,0.2,0.57,0.95
0,0,A,A,A,1.2,2.2,4.7,G,G,G,0.16,0.59,0.85
0,0,A,A,A,1.5,4.1,5,G,M/G,G,0.37,0.65,1.1
0,0,A,A,A,2.1,4.8,5.9,G,G,G,0.19,0.41,1.27
