year,author,species,river ,run,expSetup,N,size_cm,distance_m,jounral,ImageJ
1981,June,Cutthroat,NA,NA,Wild,NA,3,20,MS,N
1999,Harvey,Cutthroat,NA,NA,Wild,NA,19.9,100,Can J F Aq Sci,N
