"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.42991185274189,0.130146514995522,18.6705871672821,1.81239435069664e-56
"log(mass_g)",0.804467884738313,0.0157820894282069,50.9734714403853,1.47950247728181e-177
"log(temperature_c)",0.789227862480673,0.0527647536886881,14.957482169577,1.57454172110849e-40
"sqrt(swimspeed_m_per_s)",1.69208333182546,0.079544369131341,21.2721950064316,8.15308640327602e-68
