"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.19741085018769,0.109480356537159,29.2053383028803,2.72236376685798e-121
"log(mass_g)",0.876626440810246,0.0163481346823568,53.6224136785658,1.16195337864474e-243
"temperature_c",0.0966120578106721,0.00741630737703835,13.0269759462496,1.02977848220865e-34
"sqrt(swimspeed_m_per_s)",2.26984725054519,0.0489083631357413,46.4102068647322,9.65883984568693e-211
"log(mass_g):temperature_c",-0.00893450844405052,0.00114938411363888,-7.77330079477469,2.9141150053147e-14
