"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.74063618681523,0.394765128232838,-6.9424475233759,2.01562539001775e-11
"log(mass_g)",1.57074975065195,0.0995069275755154,15.7853306189151,2.51020753467076e-42
"log(temperature_c)",2.56252145892,0.146358478719474,17.5085275642391,3.71398074309435e-49
"swimspeed_m_per_s",3.33862385218509,0.252776456748314,13.2078117366338,2.46787849192841e-32
"log(mass_g):log(temperature_c)",-0.256399740236706,0.0364622222923921,-7.03192850344187,1.15574744793983e-11
