target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.01513863,NA,0.016785393,0.000167854,26.82214939,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.079741599,14.01513863,114.8279019,0.079741599,1.913798364,NA,0.5,0.079741599,12.54050607,27,NA,NA,114.8279019,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.01883753,NA,1.545603877,0.015456039,24.01257497,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.166232092,6.018837532,239.3742131,0.166232092,3.989570218,NA,0.5,0.166232092,6.015685572,27,NA,NA,239.3742131,rainbow trout,Wyoming/Montana/PNW,exogenous,11,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.03688598,NA,34.05433289,0.340543329,39.17744421,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.643463492,2.536885978,926.5874278,0.643463492,15.4431238,NA,0.5,0.643463492,1.554089724,27,NA,NA,926.5874278,rainbow trout,Wyoming/Montana/PNW,exogenous,11.4,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.04930039,NA,0.04830156,0.000483016,21.89461101,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.090779997,10.04930039,130.7231956,0.090779997,2.178719927,NA,0.5,0.090779997,11.01564258,27,NA,NA,130.7231956,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.05046145,NA,0.817849668,0.008178497,20.94204659,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.144217971,6.050461447,207.6738785,0.144217971,3.461231309,NA,0.5,0.144217971,6.933948604,27.1,NA,NA,207.6738785,rainbow trout,Wyoming/Montana/PNW,exogenous,11.9,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.95375723,NA,1.27553E-33,1.27553E-35,3.924295811,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.008626908,18.95375723,12.42274795,0.008626908,0.207045799,NA,0.5,0.008626908,115.9163823,28,NA,NA,12.42274795,rainbow trout,Wyoming/Montana/PNW,exogenous,4.6,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.97109827,NA,1.09622E-08,1.09622E-10,10.85952773,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.030223589,14.97109827,43.52196827,0.030223589,0.725366138,NA,0.5,0.030223589,33.08673889,28,NA,NA,43.52196827,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.97109827,NA,0.002128467,2.12847E-05,10.7801699,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.064433713,6.971098266,92.7845469,0.064433713,1.546409115,NA,0.5,0.064433713,15.51982575,28,NA,NA,92.7845469,rainbow trout,Wyoming/Montana/PNW,exogenous,6.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,27.97109827,NA,8.361210499,0.083612105,23.26899417,NA,5,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.279318345,3.471098266,402.2184172,0.279318345,6.703640287,NA,0.5,0.279318345,3.580144365,28,NA,NA,402.2184172,rainbow trout,Wyoming/Montana/PNW,exogenous,4.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.00151831,NA,0.003342118,3.34212E-05,11.30121851,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.06725457,7.001518309,96.84658111,0.06725457,1.614109685,NA,0.5,0.06725457,14.86887801,28,NA,NA,96.84658111,rainbow trout,Wyoming/Montana/PNW,exogenous,11.9,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.0087998,NA,0.432502726,0.004325027,12.25140399,NA,10,NA,NA,NA,NA,24,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.127338653,4.008799797,183.3676604,0.127338653,3.056127673,NA,0.5,0.127338653,7.853075058,28,NA,NA,183.3676604,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.01551057,NA,1.22098E-15,1.22098E-17,6.414059031,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.017798426,15.01551057,25.62973401,0.017798426,0.427162233,NA,0.5,0.017798426,56.18474228,28,NA,NA,25.62973401,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.01818994,NA,0.000154222,1.54222E-06,13.69672332,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.051795876,11.01818994,74.58606215,0.051795876,1.243101036,NA,0.5,0.051795876,19.30655619,28,NA,NA,74.58606215,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.02207407,NA,0.000441768,4.41768E-06,14.87101566,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.056216793,11.02207407,80.9521814,0.056216793,1.349203023,NA,0.5,0.056216793,17.78827914,28,NA,NA,80.9521814,rainbow trout,Wyoming/Montana/PNW,exogenous,11.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.02312139,NA,0.000476193,4.76193E-06,14.96349562,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.05656102,11.02312139,81.44786813,0.05656102,1.357464469,NA,0.5,0.05656102,17.68002077,28,NA,NA,81.44786813,rainbow trout,Wyoming/Montana/PNW,exogenous,5,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.03099137,NA,4.9523E-34,4.9523E-36,3.894429377,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.008526508,19.03099137,12.27817081,0.008526508,0.20463618,NA,0.5,0.008526508,117.2813135,28,NA,NA,12.27817081,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.03807681,NA,0.804768569,0.008047686,12.20515687,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.143735772,3.538076809,206.9795123,0.143735772,3.449658539,NA,0.5,0.143735772,6.957210324,28,NA,NA,206.9795123,rainbow trout,Wyoming/Montana/PNW,exogenous,11.4,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.03868928,NA,5.66046E-05,5.66046E-07,17.39198587,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.048186784,15.03868928,69.38896954,0.048186784,1.156482826,NA,0.5,0.048186784,20.75257796,28,NA,NA,69.38896954,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.04018077,NA,0.002261578,2.26158E-05,10.94873894,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.064799111,7.040180769,93.31072001,0.064799111,1.555178667,NA,0.5,0.064799111,15.43231046,28,NA,NA,93.31072001,rainbow trout,Wyoming/Montana/PNW,exogenous,11,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.05780347,NA,11.01967887,0.110196789,26.83576942,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.314282975,3.557803468,452.5674842,0.314282975,7.542791404,NA,0.5,0.314282975,3.181845913,28.1,NA,NA,452.5674842,rainbow trout,Wyoming/Montana/PNW,exogenous,5.2,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.95953757,NA,5.26055E-23,5.26055E-25,4.749097387,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.012398796,15.95953757,17.85426689,0.012398796,0.297571115,NA,0.5,0.012398796,80.65298952,29,NA,NA,17.85426689,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.95953757,NA,0.086341494,0.000863415,10.51606355,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.098254428,4.459537572,141.4863767,0.098254428,2.358106279,NA,0.5,0.098254428,10.17765832,29,NA,NA,141.4863767,rainbow trout,Wyoming/Montana/PNW,exogenous,5.2,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.97687861,NA,3.2797E-09,3.2797E-11,5.496928513,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.028712821,7.976878613,41.34646229,0.028712821,0.689107705,NA,0.5,0.028712821,34.82764716,29,NA,NA,41.34646229,rainbow trout,Wyoming/Montana/PNW,exogenous,6.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.97687861,NA,0.026712276,0.000267123,9.051658867,NA,5,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.084244512,4.476878613,121.3120969,0.084244512,2.021868281,NA,0.5,0.084244512,11.87020946,29,NA,NA,121.3120969,rainbow trout,Wyoming/Montana/PNW,exogenous,4.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.99421965,NA,8.08152E-13,8.08152E-15,6.149003675,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.021360997,11.99421965,30.75983525,0.021360997,0.512663921,NA,0.5,0.021360997,46.81429495,29,NA,NA,30.75983525,rainbow trout,Wyoming/Montana/PNW,exogenous,5,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.99428759,NA,3.12897E-06,3.12897E-08,7.696146633,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.04011274,7.994287589,57.76234502,0.04011274,0.96270575,NA,0.5,0.04011274,24.92973579,29,NA,NA,57.76234502,rainbow trout,Wyoming/Montana/PNW,exogenous,11,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,28.9956001,NA,0.000164967,1.64967E-06,6.241448651,NA,10,NA,NA,NA,NA,24,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.052057882,4.995600101,74.96335004,0.052057882,1.249389167,NA,0.5,0.052057882,19.20938698,29,NA,NA,74.96335004,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.01512355,NA,9.3278E-141,9.3278E-143,1.018118965,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.002119478,20.01512355,3.052049005,0.002119478,0.050867483,NA,0.5,0.002119478,471.8141804,29,NA,NA,3.052049005,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.01824948,NA,1.426E-39,1.426E-41,2.833269035,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.007369899,16.01824948,10.61265417,0.007369899,0.176877569,NA,0.5,0.007369899,135.6870748,29,NA,NA,10.61265417,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.02045252,NA,1.06898E-15,1.06898E-17,5.117214638,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.017737874,12.02045252,25.54253909,0.017737874,0.425708985,NA,0.5,0.017737874,56.37654091,29,NA,NA,25.54253909,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.02191128,NA,3.25769E-08,3.25769E-10,6.108939754,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.031730488,8.021911283,45.69190213,0.031730488,0.761531702,NA,0.5,0.031730488,31.51543125,29,NA,NA,45.69190213,rainbow trout,Wyoming/Montana/PNW,exogenous,11.9,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.02334028,NA,0.00042977,4.2977E-06,6.089306343,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.056091535,4.52334028,80.77180976,0.056091535,1.346196829,NA,0.5,0.056091535,17.82800217,29,NA,NA,80.77180976,rainbow trout,Wyoming/Montana/PNW,exogenous,11.4,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.02710039,NA,7.99006E-10,7.99006E-12,7.829945826,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.027126051,12.02710039,39.06151394,0.027126051,0.651025232,NA,0.5,0.027126051,36.86493059,29,NA,NA,39.06151394,rainbow trout,Wyoming/Montana/PNW,exogenous,11.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.87861272,NA,5.06576E-10,5.06576E-12,3.440261039,NA,5,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.026650777,5.378612717,38.37711938,0.026650777,0.639618656,NA,0.5,0.026650777,37.52235768,29.9,NA,NA,38.37711938,rainbow trout,Wyoming/Montana/PNW,exogenous,4.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.93063584,NA,6.62335E-58,6.62335E-60,1.09027572,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.005086777,8.930635838,7.324959204,0.005086777,0.122082653,NA,0.5,0.005086777,196.5881256,29.9,NA,NA,7.324959204,rainbow trout,Wyoming/Montana/PNW,exogenous,6.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.96531792,NA,3.75328E-81,3.75328E-83,1.487034206,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.003652142,16.96531792,5.2590852,0.003652142,0.08765142,NA,0.5,0.003652142,273.8118789,30,NA,NA,5.2590852,rainbow trout,Wyoming/Montana/PNW,exogenous,4.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.98265896,NA,2.23323E-09,2.23323E-11,3.7189396,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.028262895,5.48265896,40.69856937,0.028262895,0.67830949,NA,0.5,0.028262895,35.38207908,30,NA,NA,40.69856937,rainbow trout,Wyoming/Montana/PNW,exogenous,5.2,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.99068175,NA,3.66454E-16,3.66454E-18,2.27510215,NA,10,NA,NA,NA,NA,24.5,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.017264873,5.490681751,24.86141707,0.017264873,0.414356951,NA,0.5,0.017264873,57.92107489,30,NA,NA,24.86141707,rainbow trout,Wyoming/Montana/PNW,exogenous,11.4,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.99901562,NA,3.14814E-15,3.14814E-17,3.939860695,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.018242091,8.999015616,26.26861112,0.018242091,0.437810185,NA,0.5,0.018242091,54.81827697,30,NA,NA,26.26861112,rainbow trout,Wyoming/Montana/PNW,exogenous,11,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,29.99979119,NA,7.14061E-13,7.14061E-15,3.064187737,NA,10,NA,NA,NA,NA,24,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.021279822,5.999791191,30.64294379,0.021279822,0.51071573,NA,0.5,0.021279822,46.99287411,30,NA,NA,30.64294379,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,30.00577553,NA,3.40045E-41,3.40045E-43,2.212537883,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.007088318,13.00577553,10.20717855,0.007088318,0.170119642,NA,0.5,0.007088318,141.0771834,30,NA,NA,10.20717855,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,30.00675796,NA,1.97022E-27,1.97022E-29,2.26685948,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.010486845,9.006757964,15.10105738,0.010486845,0.25168429,NA,0.5,0.010486845,95.35756101,30,NA,NA,15.10105738,rainbow trout,Wyoming/Montana/PNW,exogenous,11.9,
CTM,Lee,1980,Trans. Am. Fish. Soc.,loss of equilibrium,28.45,0.125219807,0,0,141.834375,NA,5,71.47,NA,NA,NA,10,1.2,Oncorhynchus mykiss,rainbow trout,adult,hatchery,NA,NA,NA,1,24.852,NA,15.375,15.375,9.225,NA,0.640625,0,NA,0,0,NA,28.5,NA,NA,NA,rainbow trout,AZ,exogenous,NA,
CTM,Lee,1980,Trans. Am. Fish. Soc.,loss of equilibrium,29.35,0.084970583,0,0,36.42604167,NA,5,71.47,NA,NA,NA,20,1.2,Oncorhynchus mykiss,rainbow trout,adult,hatchery,NA,NA,NA,1,25.6368,NA,7.791666667,7.791666667,4.675,NA,0.324652778,0,NA,0,0,NA,29.4,NA,NA,NA,rainbow trout,AZ,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,27.6,0.13,0,0,8.604444444,1,19,9.9,0.77,NA,NA,10,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.977777778,0.977777778,8.8,NA,0.040740741,0,NA,0,0,NA,27.6,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,27.7,0.11,0,0,8.7025,1,20,15.7,1.02,NA,NA,10,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.983333333,0.983333333,8.85,NA,0.040972222,0,NA,0,0,NA,27.7,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,28.4,0.17,0,0,5.76,1,16,14.5,1.31,NA,NA,14,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.8,0.8,7.2,NA,0.033333333,0,NA,0,0,NA,28.4,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,28.6,0.14,0,0,5.921111111,1,18,13.2,1,NA,NA,14,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.811111111,0.811111111,7.3,NA,0.033796296,0,NA,0,0,NA,28.6,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,29.3,0.25,0,0,2.946944444,1,21,12.7,1.38,NA,NA,19,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.572222222,0.572222222,5.15,NA,0.023842593,0,NA,0,0,NA,29.3,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,29.6,0.57,0,0,3.121111111,1,18,12.8,1.16,NA,NA,19,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.588888889,0.588888889,5.3,NA,0.024537037,0,NA,0,0,NA,29.6,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,30,0.3,0,0,3.361111111,1,18,12.3,2,NA,NA,19,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.611111111,0.611111111,5.5,NA,0.025462963,0,NA,0,0,NA,30,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,30.6,0.22,0,0,3.737777778,1,18,9.2,1.32,NA,NA,19,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.644444444,0.644444444,5.8,NA,0.026851852,0,NA,0,0,NA,30.6,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,30.7,0.18,0,0,2.1025,1,17,11.1,1.71,NA,NA,22,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.483333333,0.483333333,4.35,NA,0.020138889,0,NA,0,0,NA,30.7,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,31,0.19,0,0,2.25,1,17,7.48,1.05,NA,NA,22,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.5,0.5,4.5,NA,0.020833333,0,NA,0,0,NA,31,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,31.5,0.09,0,0,1.173611111,1,9,5.1,0.62,NA,NA,25,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Mt. Shasta,1,NA,NA,0.361111111,0.361111111,3.25,NA,0.015046296,0,NA,0,0,NA,31.5,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Myrick,2000,Fish Physiol. Biochem.,loss of equilibrium,32,0.19,0,0,1.361111111,1,9,6.1,1.14,NA,NA,25,18,Oncorhynchus mykiss,NA,juvenile,wild,NA,NA,Eagle Lake,1,NA,NA,0.388888889,0.388888889,3.5,NA,0.016203704,0,NA,0,0,NA,32,NA,NA,NA,rainbow trout,central CA,exogenous,NA,
CTM,Rodnick,2004,J. Fish Biol.,loss of equilibrium,29,0.2,0,0,56.25,0.5,7,79,8,NA,NA,14,2,Oncorhyncus mykiss,redband trout,juvenile,wild,NA,NA,Bridge Stream,1,NA,NA,7.5,7.5,7.5,450,0.3125,NA,NA,0,NA,NA,29,NA,NA,NA,redband trout,OR,exogenous,NA,
CTM,Rodnick,2004,J. Fish Biol.,loss of equilibrium,29,0.4,0,0,56.25,0.5,5,1044,17,NA,NA,14,2,Oncorhyncus mykiss,redband trout,adult,wild,NA,NA,Bridge Stream,1,NA,NA,7.5,7.5,7.5,450,0.3125,NA,NA,0,NA,NA,29,NA,NA,NA,redband trout,OR,exogenous,NA,
CTM,Rodnick,2004,J. Fish Biol.,loss of equilibrium,29.6,0.1,0,0,60.84,0.5,8,54,3,NA,NA,14,2,Oncorhyncus mykiss,redband trout,juvenile,wild,NA,NA,Rock Stream,1,NA,NA,7.8,7.8,7.8,468,0.325,NA,NA,0,NA,NA,29.6,NA,NA,NA,redband trout,OR,exogenous,NA,
CTM,Rodnick,2004,J. Fish Biol.,loss of equilibrium,29.7,0.3,0,0,61.6225,0.5,8,94,5,NA,NA,14,2,Oncorhyncus mykiss,redband trout,juvenile,wild,NA,NA,12 Mile Stream,1,NA,NA,7.85,7.85,7.85,471,0.327083333,NA,NA,0,NA,NA,29.7,NA,NA,NA,redband trout,OR,exogenous,NA,
UILT,Stauffer,1984,Arch. Hydrobiol.,cessation of opercular movement,24.6,NA,90.50064629,0.905006463,3100,NA,10,NA,NA,NA,NA,6,NA,Oncorhyncus mykiss,rainbow trout,juvenile,hatchery,NA,NA,NA,1,NA,NA,NA,166.6666667,18.6,10000,6.944444444,166.6666667,NA,0.5,6.944444444,0.144,24.6,NA,NA,10000,rainbow trout,ML hatchery,exogenous,NA,
UILT,Stauffer,1984,Arch. Hydrobiol.,cessation of opercular movement,25.9,NA,90.50064629,0.905006463,2316.666667,NA,10,NA,NA,NA,NA,12,NA,Oncorhyncus mykiss,rainbow trout,juvenile,hatchery,NA,NA,NA,1,NA,NA,NA,166.6666667,13.9,10000,6.944444444,166.6666667,NA,0.5,6.944444444,0.144,25.9,NA,NA,10000,rainbow trout,ML hatchery,exogenous,NA,
