target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,28.14425135,NA,0,0,3.430181028,NA,10,4087,341.8422151,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,73.3,1.897366596,NA,0.307798247,11.14425135,18.46789482,0.012824927,0.307798247,NA,0,0.012824927,77.97315363,28.1,733,1969,18.46789482,steelhead,WA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,28.99236288,NA,0,0,5.844457616,NA,10,3569,340.8935318,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,70.9,2.276839915,NA,0.487348296,11.99236288,29.24089777,0.020306179,0.487348296,NA,0,0.020306179,49.246094,29,709,1969,29.24089777,steelhead,WA,exogenous,NA,
UILT,Coutant,1970,Trans. Am. Fish. Soc.,loss of equilibrium or death,29.20116411,NA,0,0,4.308558612,NA,10,3569,340.8935318,NA,NA,17,NA,Onchorhyncus mykiss,summer/early fall,adult,wild,NA,NA,Columbia,1,70.9,2.276839915,NA,0.353126847,12.20116411,21.18761083,0.014713619,0.353126847,NA,0,0.014713619,67.96424625,29.2,709,1969,21.18761083,steelhead,WA,exogenous,NA,
CTM,Currie,1998,Environ. Biol. Fishes,loss of equilibrium,28,0.113841996,0,0,9,NA,10,2,NA,4,NA,10,18,Oncorhynchus mykiss,rainbow trout,juvenile,hatchery,100,NA,NA,1,NA,NA,1,1,9,60,0.041666667,NA,NA,0,NA,NA,28,40,NA,NA,rainbow trout,MI hatchery,exogenous,NA,
CTM,Currie,1998,Environ. Biol. Fishes,loss of equilibrium,29.1,0.085381497,0,0,5.5225,NA,10,2,NA,4,NA,15,18,Oncorhynchus mykiss,rainbow trout,juvenile,hatchery,100,NA,NA,1,NA,NA,0.783333333,0.783333333,7.05,47,0.032638889,NA,NA,0,NA,NA,29.1,40,NA,NA,rainbow trout,MI hatchery,exogenous,NA,
CTM,Currie,1998,Environ. Biol. Fishes,loss of equilibrium,29.8,0.113841996,0,0,2.667777778,NA,10,2,NA,4,NA,20,18,Oncorhynchus mykiss,rainbow trout,juvenile,hatchery,100,NA,NA,1,NA,NA,0.544444444,0.544444444,4.9,32.66666667,0.022685185,NA,NA,0,NA,NA,29.8,40,NA,NA,rainbow trout,MI hatchery,exogenous,NA,
CTM,Galbreath et al.,2004,Aquac.,loss of equilibrium,28.4,NA,0,0,101.17,NA,30,14.7,NA,NA,NA,15,1,Oncorhynchus mykiss,hatchery,juvenile,hatchery,100,NA,hatchery,1,NA,NA,15.1,15.1,6.7,906,0.629166667,0,NA,0,0,NA,28.4,NA,2001,0,NA,North Carolina,exogenous,10.9,rainbow
CTM,Galbreath et al.,2004,Aquac.,loss of equilibrium,28.6,NA,0,0,97.24,NA,30,14.4,NA,NA,NA,15,1,Oncorhynchus mykiss,hatchery,juvenile,hatchery,100,NA,hatchery,1,NA,NA,14.3,14.3,6.8,858,0.595833333,0,NA,0,0,NA,28.6,NA,2001,0,NA,North Carolina,exogenous,11.1,rainbow
CTM,Grande,1991,J. Freshw. Ecol.,death,26.3,NA,92.81778138,0.928177814,1037.88,NA,10,NA,NA,NA,NA,17,0.041666667,Oncorhynchus mykiss,NA,juvenile,hatchery,NA,NA,NA,1,NA,NA,223.2,223.2,4.65,NA,9.3,0,NA,0.5,0,NA,26.3,NA,NA,NA,rainbow trout,Norwegian hatchery,exogenous,NA,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,24.43352601,NA,7.005718813,0.070057188,96.57716289,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.260734226,15.43352601,375.4572849,0.260734226,6.257621415,NA,0.5,0.260734226,3.835323106,24.4,NA,NA,375.4572849,rainbow trout,Wyoming/Montana/PNW,exogenous,4.6,
