target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,total_length_cm,se_total_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river of origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,whole_duration_deformity_prob,time_at_50_percent_hatch_hours,estimated_time_of_100_percent_hatch_hours,daily_deformity_prob,endogenous_or_exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,31,-9999,0,0,7.111111111,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.888888889,73.88888889,8,-9999,3.078703704,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,31.58558559,-9999,0,0,7.641156923,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.921421421,73.92142142,8.292792793,-9999,3.080059226,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,31.4954955,-9999,0,0,7.558371434,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.916416416,73.91641642,8.247747748,-9999,3.079850684,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
CTM,Rodgers,2018,J. Therm. Biol.,loss of equilibirum,32.19369369,-9999,0,0,8.211752856,-9999,1,5.6,1.5,-9999,-9999,15,18,Acipenser Medirostris,NA,juvenile,wild,-9999,-9999,Klamath,1,-9999,-9999,0.955205205,73.95520521,8.596846847,-9999,3.081466884,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,exogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,11,-9999,93.9477322,0.939477322,0,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,0.75,463.5820896,0,-9999,19.3159204,462.8320896,-9999,0.3,19.2846704,0.051854659,0.037,231.7910448,463.5820896,0.842858341,endogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,14,-9999,93.22423276,0.932242328,0,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,0,322.0895522,0,-9999,13.42039801,322.0895522,-9999,0.39,13.42039801,0.074513438,0.012,161.0447761,322.0895522,0.719238936,endogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,17,-9999,89.76180236,0.897618024,682.1585821,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,0.75,227.761194,2.995060616,-9999,9.490049751,227.011194,-9999,0.36,9.458799751,0.105721659,0.103,113.880597,227.761194,0.786385531,endogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,20,-9999,84.70728343,0.847072834,993.1119403,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,1.5,166.2686567,5.972935368,-9999,6.927860697,164.7686567,-9999,0.32,6.865360697,0.145658771,0.516,83.13432836,166.2686567,0.908123488,endogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,23,-9999,-9999,-9999,-9999,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,2.25,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,endogenous
survival at hatch,Joel P. Van Eenennaam,2005,Environ. Biol. Fishes,hatch,26,-9999,-9999,-9999,-9999,-9999,700,-9999,-9999,-9999,-9999,14,4,Acipenser medirostris,NA,egg,wild,-9999,-9999,Klamath,1,-9999,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,endogenous
