year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_m_per_s,se_swimspeed_m_per_s,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,wild_or_hatchery,author_fishid,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,total_length_cm,age,salinity_permil,sex,a,b,predicted_fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,salinity_factor,salinity_note,title,smolt_factor,ration_perc_satiation_pastweek,population,ecotype
1986,Rombough,Aquac.,0.029763737,NA,15,,,8.333333333,NA,NA,NA,0.013182493,NA,-4.328865649,-3.514464516,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.01369863,NA,NA,NA,NA,NA,1,-5,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.036824877,NA,9,,,8.333333333,NA,NA,NA,0.012025223,NA,-4.420748956,-3.301581646,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,-0.005479452,NA,NA,NA,NA,NA,1,-2,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.047689655,NA,6,,,8.333333333,NA,NA,NA,0.010771513,NA,-4.530850282,-3.043040771,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.009041096,NA,NA,NA,NA,NA,1,3.3,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.051886334,NA,15,,,8.333333333,NA,NA,NA,0.037678042,NA,-3.278677807,-2.958699839,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0,NA,NA,NA,NA,NA,1,0,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.055037681,NA,12,,,8.333333333,NA,NA,NA,0.022537092,NA,-3.792592794,-2.899737218,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.005753425,NA,NA,NA,NA,NA,1,2.1,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.071178527,NA,12,,,0,NA,0,NA,0.018688452,NA,-3.979849471,-2.6425641,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.072660359,NA,12,,,0,NA,0,NA,0.010518124,NA,-4.554655385,-2.621959312,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.074932399,NA,4,,,0,NA,0,NA,0.009515052,NA,-4.654880317,-2.591168919,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.076483402,NA,4,,,0,NA,0,NA,0.007777489,NA,-4.856521739,-2.570681531,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.07988,NA,12,,,NA,NA,NA,NA,0.020807192,NA,-3.872456571,-2.52722977,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.010958904,NA,NA,NA,NA,NA,1,4,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.080015967,NA,9,,,8.333333333,NA,NA,NA,0.03439911,NA,-3.369724593,-2.525529073,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.021917808,NA,NA,NA,NA,NA,1,8,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.0873,NA,12,,,NA,NA,NA,NA,0.02189811,NA,-3.821354957,-2.438404816,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.010958904,NA,NA,NA,NA,NA,1,4,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.092252166,NA,4,,,0,NA,0,NA,0.009713328,NA,-4.634256346,-2.383229521,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1986,Rombough,Aquac.,0.092268672,NA,15,,,8.333333333,NA,NA,NA,0.061498516,NA,-2.788742229,-2.383050614,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.010958904,NA,NA,NA,NA,NA,1,4,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.09252,NA,12,,,NA,NA,NA,NA,0.002455571,NA,-6.009395906,-2.380330442,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.035616438,NA,NA,NA,NA,NA,1,-13,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.093187882,NA,4,,,0,NA,0,NA,0.007939377,NA,-4.835920533,-2.373137586,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1986,Rombough,Aquac.,0.09339691,NA,6,,,8.333333333,NA,NA,NA,0.019354599,NA,-3.944825192,-2.370897017,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.041917808,NA,NA,NA,NA,NA,1,15.3,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.09341,NA,12,,,NA,NA,NA,NA,0.00083987,NA,-7.082263181,-2.370756873,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.052054795,NA,NA,NA,NA,NA,1,-19,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.09519,NA,12,,,NA,NA,NA,NA,0.000362361,NA,-7.922868263,-2.351880385,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.052054795,NA,NA,NA,NA,NA,1,-19,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.096956556,NA,12,,,0,NA,0,NA,0.031892615,NA,-3.445380814,-2.333492275,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.09895,NA,12,,,NA,NA,NA,NA,0.00293308,NA,-5.831702261,-2.313140607,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.035616438,NA,NA,NA,NA,NA,1,-13,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.0993,NA,12,,,NA,NA,NA,NA,0.003522561,NA,-5.648567008,-2.309609708,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.016438356,NA,NA,NA,NA,NA,1,-6,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.09953,NA,12,,,NA,NA,NA,NA,0.00372734,NA,-5.592060354,-2.307296173,Oncorhynchus mykiss,rainbow trout,egg,hatchery,NA,12,mean,30.00,NA,NA,-0.016438356,NA,NA,NA,NA,NA,1,-6,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.1023,NA,12,,,NA,NA,NA,NA,0.029897165,NA,-3.509991617,-2.279845606,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.046575342,NA,NA,NA,NA,NA,1,17,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.103069844,NA,12,,,8.333333333,NA,NA,NA,0.050118694,NA,-2.9933612,-2.272348426,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.022191781,NA,NA,NA,NA,NA,1,8.1,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.1057,NA,12,,,NA,NA,NA,NA,0.032828309,NA,-3.416464056,-2.247150386,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.049315068,NA,NA,NA,NA,NA,1,18,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.10591,NA,12,,,NA,NA,NA,NA,0.027056505,NA,-3.609827822,-2.245165602,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.030136986,NA,NA,NA,NA,NA,1,11,endogenous,fresh,NA,,pre-smolt,,,
1987,Oliva-Teles,Comp. Biochem. Physiol.,0.11241,NA,12,,,NA,NA,NA,NA,0.032988601,NA,-3.411593188,-2.185602378,Oncorhynchus mykiss,rainbow trout,larval,hatchery,NA,12,mean,4.00,NA,NA,0.030136986,NA,NA,NA,NA,NA,1,11,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.134671486,NA,9,,,8.333333333,NA,NA,NA,0.045103858,NA,-3.098787503,-2.004916902,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.043835616,NA,NA,NA,NA,NA,1,16,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.135566356,NA,15,,,8.333333333,NA,NA,NA,0.089562315,NA,-2.412820644,-1.998294044,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.021917808,NA,NA,NA,NA,NA,1,8,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.13933841,NA,12,,,8.333333333,NA,NA,NA,0.076639466,NA,-2.568643115,-1.9708497,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.035890411,NA,NA,NA,NA,NA,1,13.1,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.154141458,NA,12,,,0,NA,0,NA,0.034572168,NA,-3.3647063,-1.869884539,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.154141458,NA,12,,,0,NA,0,NA,0.043596994,NA,-3.132767072,-1.869884539,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1986,Rombough,Aquac.,0.155295176,NA,6,,,8.333333333,NA,NA,NA,0.034206231,NA,-3.375347445,-1.862427614,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.080273973,NA,NA,NA,NA,NA,1,29.3,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser et al.,J. Comp. Physiol. B,0.16,NA,20,,,0,NA,0,NA,0.07168,NA,-2.63554351,-1.832581464,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,mean,3.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.184497337,NA,15,,,8.333333333,NA,NA,NA,0.101617211,NA,-2.286542362,-1.690120247,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.057534247,NA,NA,NA,NA,NA,1,21,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.185548042,NA,12,,,0,NA,0,NA,0.057240672,NA,-2.860490586,-1.684441444,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1986,Rombough,Aquac.,0.188732179,NA,15,,,8.333333333,NA,NA,NA,0.124280415,NA,-2.085214852,-1.667426309,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.030136986,NA,NA,NA,NA,NA,1,11,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.191189563,NA,9,,,8.333333333,NA,NA,NA,0.059087537,NA,-2.828735255,-1.654489865,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.068493151,NA,NA,NA,NA,NA,1,25,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.195481431,NA,15,,,8.333333333,NA,NA,NA,0.12379822,NA,-2.0891023,-1.632289884,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.043835616,NA,NA,NA,NA,NA,1,16,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.200479984,NA,9,,,8.333333333,NA,NA,NA,0.056194362,NA,-2.878938847,-1.607040868,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.087671233,NA,NA,NA,NA,NA,1,32,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.202175851,NA,6,,,8.333333333,NA,NA,NA,0.035749258,NA,-3.331225761,-1.598617412,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.118630137,NA,NA,NA,NA,NA,1,43.3,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.210872762,NA,12,,,8.333333333,NA,NA,NA,0.073264095,NA,-2.613684627,-1.556500352,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.060547945,NA,NA,NA,NA,NA,1,22.1,endogenous,fresh,NA,,pre-smolt,,,
1986,Rombough,Aquac.,0.211921602,NA,6,,,8.333333333,NA,NA,NA,0.035074184,NA,-3.350289918,-1.551538873,Oncorhynchus mykiss,steelhead,egg/alevin,wild,NA,NA,mean,30,NA,NA,0.146027397,NA,NA,NA,NA,NA,1,53.3,endogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.23275037,NA,12,,,0,NA,0,NA,0.06726323,NA,-2.699141558,-1.457788773,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.235160651,NA,12,,,0,NA,0,NA,0.057240672,NA,-2.860490586,-1.447486378,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.293122645,NA,4,,,0,NA,0,NA,0.041185547,NA,-3.189667875,-1.227164172,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.293251677,NA,4,,,0,NA,0,NA,0.055176298,NA,-2.897221797,-1.226724073,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.405028714,NA,4,,,0,NA,0,NA,0.086051887,NA,-2.45280483,-0.903797315,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser et al.,J. Comp. Physiol. B,0.6,NA,20,,,0,NA,0,NA,0.3456,NA,-1.062473242,-0.510825624,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,mean,7.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,NA,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.652105215,NA,12,,,0,NA,0,NA,0.153780689,NA,-1.872227787,-0.427549357,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
2011,Van Leeuwen et al.,J. Anim. Ecol.,0.659730941,NA,13.1,,,0,NA,0,NA,0.131098072,NA,-2.031809597,-0.415923192,Oncorhyncus mykiss,Steelhead,juvenile,wild,NA,8.3,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,0,,
2011,Van Leeuwen et al.,J. Anim. Ecol.,0.659730941,NA,13.1,,,0,NA,0,NA,0.14297856,NA,-1.945060593,-0.415923192,Oncorhyncus mykiss,Steelhead,juvenile,wild,NA,8.3,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,0,,
1985,Wieser,J. Exp. Biol,0.856098124,NA,4,,,0,NA,0,NA,0.083624488,NA,-2.481418882,-0.155370278,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
1985,Wieser,J. Exp. Biol,0.865241009,NA,4,,,0,NA,0,NA,0.097283011,NA,-2.330130905,-0.144747188,Oncorhynchus mykiss,rainbow trout,fry,hatchery,NA,8,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,,,
2011,Van Leeuwen et al.,J. Anim. Ecol.,0.931062757,NA,13.1,,,0,NA,0,NA,0.17812024,NA,-1.72529645,-0.071428596,Oncorhyncus mykiss,Steelhead,juvenile,hatchery,NA,12.3,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,0,,
2011,Van Leeuwen et al.,J. Anim. Ecol.,0.949846947,NA,13.1,,,0,NA,0,NA,0.151491172,NA,-1.887227924,-0.051454415,Oncorhyncus mykiss,Steelhead,juvenile,wild,NA,8.3,individual,1.00,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,exogenous,fresh,not specifically mentioned but seems to be freshwater,,pre-smolt,0,,
