SiteName,Date,Event,SiteType,RepairType,Sample event,Species,FL,TL,Mort
85.6L,4/19/2011,2,Control,Historic,April,Chinook,49,53,No
85.6L,4/19/2011,2,Control,Historic,April,Chinook,57,61,No
85.6L,4/19/2011,2,Control,Historic,April,Shiner,53,57,No
85.6L,4/19/2011,2,Control,Historic,April,Striper,266,285,No
85.6L,4/19/2011,2,Control,Historic,April,Sucker,77,81,No
85.6L,4/19/2011,2,Control,Historic,April,Sucker,176,186,No
85.6R,4/19/2011,2,R,No Bench,April,Bass,91,97,No
85.6R,4/19/2011,2,R,No Bench,April,Bass,95,101,No
85.6R,4/19/2011,2,R,No Bench,April,Green,81,85,No
90.8L,4/19/2011,2,Control,Historic,April,Carp,180,200,No
90.8L,4/19/2011,2,Control,Historic,April,Chinook,55,60,No
90.8L,4/19/2011,2,Control,Historic,April,Chinook,45,48,No
90.8L,4/19/2011,2,Control,Historic,April,Pikeminnow,232,254,No
90.8L,4/19/2011,2,Control,Historic,April,Pikeminnow,145,165,No
90.8L,4/19/2011,2,Control,Historic,April,Pikeminnow,186,200,No
90.8L,4/19/2011,2,Control,Historic,April,Pikeminnow,165,177,No
90.8L,4/19/2011,2,Control,Historic,April,Pikeminnow,142,153,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,100,107,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,172,184,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,160,174,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,174,185,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,220,232,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,126,136,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,85,91,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,127,135,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,111,121,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,91,97,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,77,82,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,65,71,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,61,67,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,42,45,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,75,81,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,55,60,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,67,72,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,80,86,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,61,66,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,80,87,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,51,55,No
90.8L,4/19/2011,2,Control,Historic,April,Sucker,37,40,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,122,130,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,96,101,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,80,86,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,115,122,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,81,87,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,95,101,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,92,99,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,68,73,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,115,121,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,125,133,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,80,86,No
90.8L,4/19/2011,2,Control,Historic,April,Tule,88,93,No
24.0L,4/20/2011,2,N,Natural,April,Bass,285,301,No
24.0L,4/20/2011,2,N,Natural,April,Bass,156,166,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,82,91,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,63,68,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,80,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,82,89,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,70,77,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,81,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,78,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,83,90,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,80,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,81,89,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,84,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,79,87,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,75,81,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,75,81,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,81,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,61,67,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,67,73,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,72,79,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,63,67,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,65,71,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,86,93,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,85,91,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,87,93,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,87,95,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,85,91,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,86,93,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,85,92,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,85,92,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,81,89,Yes
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,82,Yes
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,82,Yes
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,78,84,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,69,76,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,85,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,78,86,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,84,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,80,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,79,86,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,80,88,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,78,84,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,73,81,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,84,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,67,72,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,65,70,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,75,81,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,69,76,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,82,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,69,76,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,79,85,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,79,86,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,73,80,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,83,90,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,75,81,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,61,67,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,77,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,60,65,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,82,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,75,82,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,83,No
24.0L,4/20/2011,2,N,Natural,April,Chinook,76,82,No
24.0L,4/20/2011,2,N,Natural,April,Hitch,110,126,No
24.0L,4/20/2011,2,N,Natural,April,Hitch,80,90,No
24.0L,4/20/2011,2,N,Natural,April,Hitch,75,84,No
24.0L,4/20/2011,2,N,Natural,April,Pikeminnow,230,250,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,59,63,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,56,60,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,60,63,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,40,43,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,55,59,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,59,64,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,47,51,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,50,54,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,55,59,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,45,49,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,45,49,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,46,50,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,40,43,No
24.0L,4/20/2011,2,N,Natural,April,Shiner,66,70,No
24.0L,4/20/2011,2,N,Natural,April,Tule,154,165,No
24.0L,4/20/2011,2,N,Natural,April,Wcatfish,202,213,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Bass,296,315,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Bass,303,323,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Bass,72,75,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Bluegill,115,123,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,67,72,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,80,88,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,80,88,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,70,76,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,69,75,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,64,69,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,56,60,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,49,53,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,72,77,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,81,88,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,76,82,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,69,76,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,54,59,Yes
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,57,61,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,71,77,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,57,62,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,81,88,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,76,83,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,68,73,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,68,73,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,51,56,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,73,80,Yes
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,62,67,Yes
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,72,78,Yes
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,72,78,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,71,78,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,65,70,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,81,89,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,89,98,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,86,92,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,101,109,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,95,103,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,90,99,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,83,90,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,88,95,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,88,96,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,86,92,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Chinook,98,108,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Dsmelt,80,86,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Dsmelt,70,76,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Dsmelt,74,79,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Readear,153,161,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Sucker,70,75,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Sucker,485,511,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Sucker,520,545,No
47.0L,4/20/2011,2,R,10:1 Slope,April,Warmouth,101,108,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Bass,63,66,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,46,49,Yes
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,55,59,Yes
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,66,71,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,53,57,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,59,64,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,57,61,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,61,66,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,50,53,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,46,49,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Chinook,54,58,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Pikeminnow,112,122,No
47.9R,4/20/2011,2,R,10:1 Slope,April,Sucker,76,81,No
50.2L,4/20/2011,2,R,No Bench,April,Carp,560,622,No
50.2L,4/20/2011,2,R,No Bench,April,Carp,766,775,No
50.2L,4/20/2011,2,R,No Bench,April,Chinook,52,56,No
50.2L,4/20/2011,2,R,No Bench,April,Chinook,56,61,Yes
50.2L,4/20/2011,2,R,No Bench,April,Chinook,67,72,No
50.2L,4/20/2011,2,R,No Bench,April,Sucker,490,529,No
50.2L,4/20/2011,2,R,No Bench,April,Sucker,429,454,No
50.3R,4/20/2011,2,N,Natural,April,Bass,303,319,No
50.3R,4/20/2011,2,N,Natural,April,Bass,205,213,No
50.3R,4/20/2011,2,N,Natural,April,Bass,236,246,No
50.3R,4/20/2011,2,N,Natural,April,Bass,300,316,No
50.3R,4/20/2011,2,N,Natural,April,Chinook,56,59,No
50.3R,4/20/2011,2,N,Natural,April,Chinook,51,56,No
50.3R,4/20/2011,2,N,Natural,April,Chinook,47,50,No
56.0R,4/20/2011,2,Control,Historic,April,Carp,620,681,No
56.0R,4/20/2011,2,Control,Historic,April,Pikeminnow,169,184,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Bass,320,340,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Bass,155,162,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Blackfish,390,410,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Bluegill,49,52,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Bluegill,59,62,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,71,78,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,66,71,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,56,61,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,78,85,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,79,86,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,70,77,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,56,62,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,74,81,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,70,75,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,77,83,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,90,99,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,85,90,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,84,90,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,82,90,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,73,80,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,70,78,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,70,77,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,80,87,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,68,73,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,77,85,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,57,63,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,49,52,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,55,69,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,53,57,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Chinook,59,64,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,214,224,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,163,180,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,168,182,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,189,204,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,158,173,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Pikeminnow,151,165,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Readear,152,169,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Readear,135,143,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Striper,565,610,No
34.5R,4/21/2011,2,R,Wetland Trench,April,Sucker,118,125,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,76,81,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,118,124,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,145,153,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,144,150,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,128,133,No
38.7R,4/21/2011,2,Control,Historic,April,Bass,72,76,No
38.7R,4/21/2011,2,Control,Historic,April,Chinook,80,88,No
38.7R,4/21/2011,2,Control,Historic,April,Chinook,81,89,No
38.7R,4/21/2011,2,Control,Historic,April,Chinook,65,69,No
38.7R,4/21/2011,2,Control,Historic,April,Chinook,80,88,No
38.7R,4/21/2011,2,Control,Historic,April,Green,113,160,No
38.7R,4/21/2011,2,Control,Historic,April,Sculpin,0,91,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Bass,130,138,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,60,66,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,71,77,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,50,54,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,60,65,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,66,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,81,89,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,79,87,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,77,82,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,66,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,81,89,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,67,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,82,90,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,82,90,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,63,68,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,59,64,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,55,58,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,56,60,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,63,68,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,60,64,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,58,63,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,74,80,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,59,64,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,75,81,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,54,59,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,47,50,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,61,66,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,45,48,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,80,89,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,57,61,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,45,48,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,50,54,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,81,89,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,48,51,Yes
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,79,87,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,70,77,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,75,82,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,80,88,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,72,79,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,67,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,56,61,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,54,58,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,47,52,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,70,77,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,56,61,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,80,88,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,80,88,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,67,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Dsmelt,75,78,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Dsmelt,75,78,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Pikeminnow,80,88,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Shiner,73,79,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Shiner,60,64,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Splittail,355,404,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Striper,290,313,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Sucker,70,75,No
43.7R,4/21/2011,2,R,10:1 Slope,April,Threadfin,112,130,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Carp,200,221,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,66,71,Yes
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,47,50,Yes
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,79,85,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,77,84,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,77,85,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,60,65,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,79,85,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,56,61,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,66,71,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,67,72,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,59,63,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,66,71,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,53,59,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,62,68,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,86,93,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,91,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Chinook,85,92,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Pikeminnow,128,141,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Splittail,289,340,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Splittail,336,397,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Splittail,272,313,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Splittail,334,390,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Striper,717,766,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Striper,200,215,No
44.7R,4/21/2011,2,R,10:1 Slope,April,Striper,292,309,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,356,381,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,327,348,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,294,313,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,297,310,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,132,140,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,138,146,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,325,333,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,325,333,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,110,117,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,121,129,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,138,147,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,340,350,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,153,162,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,127,136,No
24.0R,4/22/2011,2,Control,Historic,April,Bass,125,132,No
24.0R,4/22/2011,2,Control,Historic,April,Chinook,72,77,No
25.0L,4/22/2011,2,N,Natural,April,Bass,320,340,No
25.0L,4/22/2011,2,N,Natural,April,Bass,269,286,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,82,90,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,82,90,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,52,56,Yes
25.0L,4/22/2011,2,N,Natural,April,Chinook,81,89,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,74,80,Yes
25.0L,4/22/2011,2,N,Natural,April,Chinook,76,82,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,66,72,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,78,85,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,80,88,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,74,81,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,70,77,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,80,87,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,58,62,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,54,58,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,55,59,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,85,92,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,106,116,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,85,92,No
25.0L,4/22/2011,2,N,Natural,April,Chinook,85,92,No
25.0L,4/22/2011,2,N,Natural,April,Pikeminnow,537,575,No
25.0L,4/22/2011,2,N,Natural,April,Pikeminnow,321,342,No
