SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Turb,Comments
USVeronaRR,Various,NA,3/24/15,1,CHN,65,70,5,F,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SMB,88,90,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SMB,170,182,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SMB,189,215,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SMB,162,191,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SMB,265,280,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,SASQ,106,116,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RSN,35,37,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RSN,32,33,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RSN,35,37,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RSN,34,36,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,CHC,350,395,NA,NA,N,12.72,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,110,125,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,85,96,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,110,119,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,100,109,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,90,101,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,82,95,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,94,105,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,115,132,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,92,112,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,92,110,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,115,125,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,83,96,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,90,114,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,88,111,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,88,110,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,110,126,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,117,132,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,96,110,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,118,135,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,114,129,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,TFS,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,32,34,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,43,45,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,28,30,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,33,35,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,21,22,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,28,29,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,28,30,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,42,45,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,43,46,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,43,46,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,33,36,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,32,34,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,39,42,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,31,34,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,30,33,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,22,23,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,RSN,NA,NA,NA,NA,N,14.96,plus count
USVeronaRL,Various,NA,3/24/15,1,CHN,103,115,5,W,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,CHN,74,81,5,S,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,CHN,62,72,3,F,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,CHN,81,89,3,S,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,CHN,72,76,3,S,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,SMB,155,161,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,SMB,195,205,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,SASQ,100,111,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,SASQ,88,97,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,SASQ,313,340,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,HH,73,82,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,HH,238,260,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,HH,187,205,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,HH,160,174,NA,NA,N,14.96,NA
USVeronaRL,Various,NA,3/24/15,1,HH,192,212,NA,NA,N,14.96,NA
USVeronaRR,Various,NA,4/2/15,2,CHN,76,81,5,S,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,CHN,86,94,5,S,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,SASQ,106,115,NA,NA,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,SASQ,133,145,NA,NA,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,HH,206,229,NA,NA,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,SMB,175,186,NA,NA,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,SMB,309,326,NA,NA,N,19.64,NA
USVeronaRR,Various,NA,4/2/15,2,SMB,242,256,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,65,71,3,F,N,19.64,Pink elastomer tag
USVeronaRL,Various,NA,4/2/15,2,CHN,60,65,3,F,N,19.64,Pink elastomer tag
USVeronaRL,Various,NA,4/2/15,2,CHN,66,71,3,F,N,19.64,Pink elastomer tag
USVeronaRL,Various,NA,4/2/15,2,CHN,71,76,3,F,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,71,77,5,F,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,77,85,3,S,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,90,97,5,S,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,90,100,5,S,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,CHN,87,95,5,S,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,105,123,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,99,113,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,95,110,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,99,14,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,97,115,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,112,128,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,101,117,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,132,149,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,95,118,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,97,108,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,95,121,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,108,123,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,70,79,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,100,112,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,TFS,95,100,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,100,110,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,83,90,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,85,92,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,95,94,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,94,103,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,95,102,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,133,148,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,110,121,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,82,89,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,82,88,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,MSS,93,100,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,107,110,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,90,93,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,43,47,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,40,43,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,30,32,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,50,55,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,50,53,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,40,42,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,38,40,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,32,35,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,42,45,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,32,35,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,BKS,101,107,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,46,50,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,38,41,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,40,43,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,40,43,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,42,45,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,45,48,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,44,47,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,43,47,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,28,30,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,RSN,33,36,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,HH,200,220,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,HH,185,205,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,HH,204,224,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,HH,167,185,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,113,121,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,87,93,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASQ,178,192,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASU,56,60,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASU,158,167,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASU,75,80,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASU,125,134,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SASU,285,300,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,150,158,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,101,105,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,109,114,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,150,160,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,220,228,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,215,223,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,227,233,NA,NA,N,19.64,NA
USVeronaRL,Various,NA,4/2/15,2,SMB,240,250,NA,NA,N,19.64,NA
DSVeronaRL,Various,NA,4/8/15,2,CHN,88,95,5,S,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,135,142,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,140,148,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,121,126,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,110,117,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,104,108,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,95,98,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,105,109,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,109,114,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,90,94,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,91,94,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,NA,NA,NA,NA,N,17.55,plus count
DSVeronaRL,Various,NA,4/8/15,2,SMB,NA,NA,NA,NA,N,17.55,plus count
DSVeronaRL,Various,NA,4/8/15,2,SMB,NA,NA,NA,NA,N,17.55,plus count
DSVeronaRL,Various,NA,4/8/15,2,SMB,102,107,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,110,114,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,95,99,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,95,99,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,97,101,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,101,107,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,99,104,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,91,95,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,184,195,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,SMB,167,173,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,GSF,80,83,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,W,78,81,NA,NA,N,17.55,NA
DSVeronaRL,Various,NA,4/8/15,2,BGS,51,54,NA,NA,N,17.55,NA
DSVeronaRR,Various,NA,4/8/15,2,CHN,82,90,5,S,N,15.87,Ad clipped
DSVeronaRR,Various,NA,4/8/15,2,CHN,80,87,5,S,N,15.87,Ad clipped
DSVeronaRR,Various,NA,4/8/15,2,CHN,84,89,5,S,N,15.87,Ad clipped
