author,year,jounral,length_mm,count
2018,michel,SFEWS,149.99999999999997, 48.662207357859586
2018,michel,SFEWS,179.99999999999997, 140.9698996655519
2018,michel,SFEWS,208.99999999999997, 127.92642140468234
2018,michel,SFEWS,240, 236.28762541806026
2018,michel,SFEWS,269, 266.88963210702343
2018,michel,SFEWS,299, 141.97324414715723
2018,michel,SFEWS,329, 97.82608695652175
2018,michel,SFEWS,359, 65.21739130434781
2018,michel,SFEWS,390.00000000000006, 36.120401337792714
2018,michel,SFEWS,419.00000000000006, 31.10367892976592
2018,michel,SFEWS,448, 9.030100334448207
2018,michel,SFEWS,474.00000000000006, 9.531772575250898
2018,michel,SFEWS,510.00000000000006, 10.535117056856166
