SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
85.6R,NoBench,Mitigated,1/14/2014,1,SPTB,99,103,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,TP,68,72,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,TP,73,78,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,TP,76,88,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,W,43,44,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,W,43,45,NA,NA,N,201,4.61,NA
85.6R,NoBench,Mitigated,1/14/2014,1,W,51,53,NA,NA,N,201,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,C,520,559,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,C,660,712,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,C,700,760,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,GSF,44,45,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,GSF,56,59,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,MSS,55,57,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,SASU,44,47,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,SASU,50,54,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,SMB,66,71,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,SMB,80,85,NA,NA,N,186,4.61,NA
85.6L,Unmitigated,Unmitigated,1/14/2014,1,SMB,80,84,NA,NA,N,186,4.61,NA
72.2R,Bench,Mitigated,1/14/2014,1,C,560,615,NA,NA,N,105,8.27,NA
72.2R,Bench,Mitigated,1/14/2014,1,GF,258,280,NA,NA,N,105,8.27,NA
72.2R,Bench,Mitigated,1/14/2014,1,RES,100,105,NA,NA,N,105,8.27,NA
72.2R,Bench,Mitigated,1/14/2014,1,SASU,450,460,NA,NA,N,105,8.27,NA
72.2R,Bench,Mitigated,1/14/2014,1,SMB,102,106,NA,NA,N,105,8.27,NA
72.2R,Bench,Mitigated,1/14/2014,1,SMB,125,130,NA,NA,N,105,8.27,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,54,59,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,62,68,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,63,67,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,68,73,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,70,76,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,71,77,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,71,78,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,72,78,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,75,82,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,75,82,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,76,83,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,76,82,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,80,87,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,81,86,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,82,91,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,82,88,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,82,90,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,82,89,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,90,98,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,92,100,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
69.9R,NoBench,Mitigated,1/14/2014,1,MSS,NA,NA,NA,NA,N,144,7.49,NA
