No,Fish,Length,Depart,DLocation,DLocationGen,Arrive,ALocation,ALocationGen,Dist_km,DeltaTime,DeltaTimeMin,Distperhour,Distperday,Activity,,1,Dist_referenceA,Dist_referenceB,Helper1,Helper2,Dist.KM,
18,9,40,7/14/2013 10:10,SJ_MedfordChannel,SJ_MedfordChannel,7/15/2013 1:35,SJ_PrisonersPointN,SJ_PrisonersPt,5.21,15:25,925,0.34,8.11,Delta,,19,SJ_MedfordChannel,SJ_PrisonersPointN,SJ_MedfordChannel SJ_PrisonersPointN,SJ_PrisonersPointN SJ_MedfordChannel,5.21,
19,9,40,7/18/2013 8:53,SJ_MedfordChannel,SJ_MedfordChannel,7/18/2013 15:53,SJ_PrisonersPointN,SJ_PrisonersPt,5.21,7:00,420,0.74,17.86,Delta,,20,AntiochBridge20,SJ_BlwFalse2,AntiochBridge20 SJ_BlwFalse2,SJ_BlwFalse2 AntiochBridge20,5.77,
20,21,38,6/27/2013 1:05,FranksTractW,FranksTractW,6/27/2013 21:27,SJ_BlwFalse2,SJ_Blw_False,2.56,20:22,1222,0.13,3.02,Delta,,21,FranksTractW,Santa_Clara_Shoals2_south,FranksTractW Santa_Clara_Shoals2_south,Santa_Clara_Shoals2_south FranksTractW,6.75,
21,3,42,3/31/13 7:35 AM,ThreeMile_SJbrnW,ThreeMileSouth,3/31/13 8:52 PM,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,5.10,13:16,796,0.38,9.22,Delta,,22,Santa_Clara_Shoals1_N,SJ_BlwFalse2,Santa_Clara_Shoals1_N SJ_BlwFalse2,SJ_BlwFalse2 Santa_Clara_Shoals1_N,7.67,
22,3,42,5/31/13 4:44 AM,AntiochBridge20,Antioch_Br,5/31/13 6:38 PM,SJ_BlwFalse2,SJ_Blw_False,5.77,13:53,834,0.42,9.96,Delta,,23,SJ_BlwFalse2,AntiochBridge15,SJ_BlwFalse2 AntiochBridge15,AntiochBridge15 SJ_BlwFalse2,6.05,
23,3,42,6/1/13 12:18 AM,FranksTractW,FranksTractW,6/1/13 4:29 PM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,6.75,16:10,970,0.42,10.02,Delta,,24,AntiochBridge17,SJ_BlwFalse2,AntiochBridge17 SJ_BlwFalse2,SJ_BlwFalse2 AntiochBridge17,5.94,
24,3,42,6/2/13 4:13 AM,Santa_Clara_Shoals1_N,SJ_Santa_Clara_Shoals,6/2/13 8:32 AM,SJ_BlwFalse2,SJ_Blw_False,7.67,4:18,259,1.78,42.65,Delta,,25,BenBr02,CarBr03,BenBr02 CarBr03,CarBr03 BenBr02,9.54,
25,3,42,6/2/13 1:50 PM,SJ_BlwFalse2,SJ_Blw_False,6/2/13 5:49 PM,AntiochBridge15,Antioch_Br,6.05,3:59,239,1.52,36.38,Delta,,26,CarBr03,BenBr03,CarBr03 BenBr03,BenBr03 CarBr03,9.69,
26,3,42,6/3/13 10:50 AM,AntiochBridge17,Antioch_Br,6/4/13 1:10 AM,SJ_BlwFalse2,SJ_Blw_False,5.94,14:20,861,0.41,9.94,Delta,,27,BenBr02,Decker_IsCL3,BenBr02 Decker_IsCL3,Decker_IsCL3 BenBr02,34.26,
27,3,42,6/5/13 4:16 AM,SJ_BlwFalse2,SJ_Blw_False,6/5/13 6:21 AM,AntiochBridge17,Antioch_Br,5.94,2:04,124,2.86,68.73,Delta,,28,Decker_IsSE,RioVistaBr02,Decker_IsSE RioVistaBr02,RioVistaBr02 Decker_IsSE,11.56,
28,3,42,6/14/13 9:43 AM,BenBr02,BeniciaBridge,6/14/13 12:08 PM,CarBr03,Carquinez Bridge,9.54,2:25,146,3.93,94.33,Migrate,,29,RioVistaBr03,Decker_IsSW,RioVistaBr03 Decker_IsSW,Decker_IsSW RioVistaBr03,11.26,
29,3,42,6/14/13 12:35 PM,CarBr03,Carquinez Bridge,6/15/13 6:21 AM,BenBr03,BeniciaBridge,9.69,17:46,1066,0.55,13.09,Migrate,,30,Decker_IsSE,RioVistaBr03,Decker_IsSE RioVistaBr03,RioVistaBr03 Decker_IsSE,11.53,
30,3,42,6/15/13 9:13 AM,BenBr02,BeniciaBridge,6/16/13 9:23 PM,Decker_IsCL3,Decker_IsS,34.26,12:09,2170,0.95,22.74,Migrate,,31,RioVistaBr03,SteamboatSl_Mouth1,RioVistaBr03 SteamboatSl_Mouth1,SteamboatSl_Mouth1 RioVistaBr03,3.54,
31,3,42,6/17/13 3:40 AM,Decker_IsSE,Decker_IsS,6/17/13 8:45 AM,RioVistaBr02,SR_RioVista,11.56,5:04,305,2.27,54.60,Delta,,32,Decker_IsSW,RioVistaBr01,Decker_IsSW RioVistaBr01,RioVistaBr01 Decker_IsSW,11.23,
32,3,42,6/17/13 1:02 PM,RioVistaBr03,SR_RioVista,6/18/13 4:41 AM,Decker_IsSW,Decker_IsS,11.14,15:39,939,0.71,17.08,Delta,,33,BenBrCenter,Carq_East,BenBrCenter Carq_East,Carq_East BenBrCenter,9.79,
33,3,42,6/19/13 8:38 PM,Decker_IsSE,Decker_IsS,6/19/13 10:56 PM,RioVistaBr03,SR_RioVista,11.53,2:18,138,5.01,120.21,Delta,,34,SP_Petaluma_G5,Vallejo_Marina,SP_Petaluma_G5 Vallejo_Marina,Vallejo_Marina SP_Petaluma_G5,21.63,
